Slanost,Temp_zraka,Temp_vode,Crijevni_enterokoki,Escherichia_coli,Suncevo_zracenje_DHMZ GHI,Padaline,KPad0h-24h,KPad25h-48h,KPad49h-72h,KPad3d-4d,KPad4d-7d,KPad7d-14d,KPad14d-30d,AirTemp,AlbedoDaily,Azimuth,CloudOpacity,DewpointTemp,Dhi,Dni,Ebh,Ghi,GtiFixedTilt,GtiTracking,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m,Zenith,KPad3d-6d,KPad6d-10d,KPad10d-17d,Kpad17d-21d,Padaline_1d_poslije 
25.7,25,21,10,50,419.86,0,0.5,1.2,0,0,4.9,27.7,89.4,21.98693758,0.12,-163,67.96407754,15.20115248,323.4576854,0,0,285.6318988,258.644416,286.9472075,28.75747158,63.20893637,975.5770169,219.6787403,4.776157037,23.41089532,4.9,0.8,26.9,89.4,0
35.46,23.5,21,7,0,496.53,0,0,0.5,1.2,0,4.9,27.7,89.4,21.94114217,0.12,93.95457685,52.57262346,10.94791944,426.6594049,0,0,420.5062091,379.3183742,419.8355385,24.21217873,49.8010103,969.6401987,224.9616686,3.137513615,23.41089532,0,4.9,27.7,89.4,1.1
36.79,23,20.3,2,8,777.27,0,1.1,0,0.5,1.2,2.6,30,88.9,18.55738892,0.12,-132.5470858,1.151621799,10.88557817,101.1736204,873.2350636,785.8544425,896.6296739,936.7527436,926.1856516,19.04472093,57.06251448,972.6523418,44.45255441,2.017788884,26.49171345,1.2,4.9,27.7,89.4,0
36.99,24,19,15,5,813.89,0,0,1.1,0,0.5,1.2,28.7,40.7,20.4,0.12,-163,17.5,10.23926118,403,381,348,751,753,757,22.84427424,51.5,974.9,186,2.3,23.41089532,1.7,4.9,27.7,89.4,0
35.31,23,21,29,2,848.48,0,0,0,1.1,0,1.7,21.5,45.9,23.55891706,0.12,93.95457685,37.35449528,14.18520541,417.6376684,153.4345271,141.583696,559.5694198,537.1146027,559.4255158,27.68877616,57.33414716,973.594134,226.193827,3.679964518,23.41089532,1.7,2.6,18.9,100,0
32.68,25.5,21,1110,1300,669.57,0,0,0,0,1.1,1.7,6.7,60.7,24.36904633,0.11,-181.4040656,3.141200492,14.40430187,276.5374795,574.2606672,524.3863634,800.0520642,817.1502449,812.1676783,29.31681305,53.97526155,973.8184421,210.9380427,3.959187024,23.41089532,1.6,3.8,18.9,100,2.1
35.59,23,20,780,405,272.14,0,2.1,0,0,0,1.6,6.9,61.7,23.55891706,0.12,-181.4040656,74.29345843,17.04162083,129.5999873,0,0,129.822353,117.7675726,129.9064615,30.17984222,70.25327896,973.9644927,179.8377016,3.137513615,23.41089532,1.1,1.7,6.7,62.7,1.2
29.77,24,21,80,30,658.77,0,1.2,2.1,0,0,1.1,6.6,62.5,22.27814604,0.12,93.95457685,30.31299315,14.40430187,459.1148292,199.3810072,184.8037245,605.9246808,619.0851573,642.0778364,20.04875102,62.37414143,970.7351181,217.8956571,4.358185532,22.56475555,1.1,1.7,5.7,61.7,17.5
35.1,21,21,250,70,208.73,2.15,16.8,1.2,2.1,0,1.1,6.6,62.5,19.6,0.11,-181.4040656,72.51942318,15.57235807,242.3589173,0,0,245.9159253,220.5702071,245.7783685,25.53860977,78.13028363,967.0353796,214.5085145,3.679964518,22.56475555,0,2.8,4.9,62.5,11.5
34.8,19.5,20.2,94,150,482.5,0,29.4,12.2,16.8,1.2,2.1,7.7,42.7,18.55738892,0.11,-119.5957618,2.850155516,13.38434346,163.9797963,749.6565566,625.3079526,801.4423545,803.1073399,908.9957405,20.59905404,72.06986006,971.5413226,257.7147183,0.868020526,26.49171345,3.3,1.1,6.6,62.5,1
37.13,28,24,260,18,838.89,0,2.2,0,0,0,0,59.5,11,22.69281433,0.12,-117.8867804,2.7,12.30452929,187,743,683,870,899,881.9494803,29.31681305,53.4,978.8,51.58409597,3.263653639,22.56475555,0,0,60.7,10.6,0
37,24,23.3,7,1,649.41,0,0,2.2,0,0,0,42.7,27.8,22.27814604,0.11,-111.9659765,1.151621799,12.08607028,136.1681208,785.3485344,632.3111666,769.6367213,760.0689472,917.9856582,25.89283087,50.37463872,981.2849966,67.56519128,1.969068388,38.52183916,0,0,59.5,11,0
36.77,29,24,25,1,805.33,0,0,2.2,0,0,0,42.7,27.8,25.84080906,0.11,146.256793,1.151621799,12.79162141,128.5891157,848.9635545,783.9447606,912.9122241,949.7736611,917.7125209,25.02568647,44.31666711,980.1586671,173.5214793,0.364831708,22.56475555,0,0,59.5,11,0
36.09,31,25,130,110,878.02,0,0,0,2.2,0,0,30.5,37.7,28.63919839,0.11,146.256793,1.151621799,13.35294521,180.5435876,841.3398957,776.5471793,903.5702906,940.1478069,909.7107065,26.2844815,39.0323807,975.9240452,212.756425,2.758262508,22.56475555,0,0,42.7,27.8,0
36.9,29,24,40,6,838.75,0,0,0,0,2.2,0,1.1,64.5,29.31677182,0.11,-117.8867804,1.151621799,15.81381953,161.9862205,708.8958981,728.5752356,891.0194148,925.3418185,894.3089722,28.95018326,45.24973153,975.4636791,222.3810345,2.181794376,22.56475555,2.2,0,30.5,40,0
37.25,28,26,60,5,814.84,0,0,0,0,0,2.2,0.1,65.5,30.51223355,0.11,-116.9857839,1.151621799,18.03960235,167.7044768,780.044178,720.2778008,895.4513875,922.5456386,891.134439,27.91764175,47.37370117,976.1768661,224.9616686,2.622461253,23.41089532,2.2,0,1.1,69.4,0
37.13,31,25,140,60,744.49,0,0,0,0,0,2.2,0,65.6,31.04901119,0.11,-130.8519349,1.151621799,18.03960235,183.8048903,753.8488307,531.0659815,853.7350247,877.428606,893.2872562,23.33670668,47.32138412,975.7247375,230.4418605,2.065640752,33.41588728,2.2,0,0.1,68.1,0
33.4,31,27,390,11,818.54,0,0,0,0,0,2.2,0,64.4,31.81175054,0.11,36.00335494,1.151621799,19.69184945,162.711008,708.9930667,655.1539141,863.441067,895.6890662,864.5064379,34.8930348,48.91448458,975.7247375,114.8054419,3.390310995,22.56475555,0,2.2,0,65.6,0
32.99,30,26,420,80,796.49,0,0,0,0,0,0,2.2,63.9,29.36895662,0.11,-116.9857839,6.246696728,20.49795464,333.5424621,510.7557443,470.4329977,803.7290257,819.7109355,806.2807966,35.14205925,58.70891327,974.1445109,215.3932389,2.065640752,23.41089532,0,2.2,0,65.6,0
35.26,30,25,90,3,753.7,0,0,0,0,0,0,2.2,63.9,28.7106715,0.11,-130.8519349,1.151621799,17.04162083,151.5287297,793.3810188,704.0062578,854.8343217,880.6308326,901.4490523,27.3892255,49.48085883,973.5,198.1639238,0.761240046,33.41588728,0,2.2,0,64.4,0
35.84,30,27,150,54,733.1,0,0,0,0,0,0,2.2,62.8,27.97938229,0.11,-130.8519349,5.808703649,18.71135354,259.9681518,602.5368062,538.3965008,798.5352954,816.5750321,827.6636509,33.76450386,57.35244897,972.7525604,164.7135082,1.087009322,33.41588728,0,2.2,0,64.4,0
36.46,31,27,80,0,543.35,0,0,0,0,0,0,2.2,62.8,28.22823449,0.11,-116.9857839,25.08581366,17.52816127,458.4236805,210.545318,192.8819773,652.2499669,630.1129975,654.1991538,31.60284386,53.13030318,972.1120775,179.8377016,1.439912408,23.41089532,0,0,2.2,63.9,0
37.31,25,26,390,72,733.78,0,0,0,0,0,0,2.2,62.8,26.61165851,0.11,-130.8519349,0.625517747,17.13554446,138.8217606,798.479815,706.0817571,844.9130618,872.5460324,899.0163612,29.31681305,55.47492809,973.594134,234.7554508,1.969068388,33.41588728,0,0,2.2,62.8,0
37.32,28,27,22,3,760.91,0,0,0,0,0,0,2.2,62.8,28.22823449,0.11,-130.8519349,1.151621799,15.97088893,93.78543114,845.9458698,750.7211208,872.5993593,906.323527,927.2479303,21.70956114,50.09016794,973.8184421,227.6983163,2.488202111,33.41588728,0,0,2.2,62.8,0
36.53,30,27,168,559,765.27,0,0,0,0,0,0,2.2,60.7,29.31677182,0.11,-112.1421458,1.151621799,16.50793045,102.983488,871.0678842,776.0943867,877.9073781,914.8519998,917.9856582,24.21217873,47.95738994,972.8624526,221.9039081,1.969068388,33.41588728,0,0,2.2,62.8,0
37.5,27.3,24,0,1,566.67,0,0,0,0,0,0,2.2,59.5,27.2,0.11,-111.6330766,1.151621799,16.2,180.5435876,786,607,735,725,909,25.130866,50.8,973.5,87,1.848986784,35.07533971,0,0,2.2,62.8,0
37.5,22,21.5,0,0,758.72,0,0.1,1.7,0,0,0,0.4,0,26.50991402,0.11,-132.5470858,1.151621799,18.79481279,242.9575738,618.1504091,531.0659815,774.4836275,816.8759168,818.2521529,29.99480079,60.54707952,976.61091,28.71088937,1.2,34.60059896,0,0.1,0.3,2.2,0
36.9,30,25.3,10,14,612.86,0,0,0,0,0,0,1.8,0.4,26.50991402,0.11,-136.8982173,0.158678647,16.95841707,101.1736204,842.2613127,728.5061154,756.6703993,827.4749726,888.5040125,22.7289771,56.54402672,979.8018317,67.03277978,1.848986784,38.40067132,0,0,1.8,0.4,0
28.4,26.5,20.1,90,50,511.9,0,0,0,0,0,0,1.9,1.8,29.14004836,0.11,-122.2055334,0.158678647,14.40430187,101.1736204,818.131999,578.3224925,680.5171674,694.8226797,864.5064379,20.59905404,40.70421658,979.2,44.45255441,0.217576411,41.32466653,0,1.9,0,1.8,0
38.1,25.2,22.2,7,12,230.36,0,2.8,0,5.7,46.2,0.8,41.3,1.9,22.17147557,0.11,-127.736388,11.60272444,16.24135523,344.6757738,296.9809438,203.9031045,548.5781784,597.6190065,615.9999752,29.3243307,69.1484836,976.8401182,40.60610118,3.263653639,43.45875942,47.8,41.3,0,1.9,0
22.5,17.7,17.5,10,26,549.54,0,1.7,0.4,1.3,24.1,26.3,67.9,82.2,16.76738676,0.11,93.23717082,47.25954305,9.727331351,249.1528669,0,0,281.4570297,256.026585,306.395577,17.49874424,62.48452352,963.592521,230.4418605,3.392579806,55.39307364,50.4,6.3,62.1,96.3,16
34.91,20,18,18,10,780.56,0,2.7,0.2,0,0,9.2,83.3,113,17.54633644,0.12,-119.5957618,15.3,13.9623662,357,433,377,724.7537949,732,775,19.7,78.7,970.3,241,3.029700362,26.49171345,9.2,26.6,75.9,133.7,0
32.44,25,24,36,9,204.39,0,0.6,0,0,0,0,3.4,92.5,19.79048115,0.12,-111.9659765,88.87522576,14.55447221,76.96355802,0,0,78.08042888,70.96951345,79.51207317,28.60018093,71.7596656,972.3033326,39.15658622,3.668093363,38.52183916,0,0,3.4,118.8,0.7
